anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
1806,Worthington Hooker,2008-04-01T03:28:50.625462,26,59
,,2008-04-30T20:50:18.033121,46,60
,Andrea Kane,2008-04-01T03:28:50.625462,134,61
,,,25,62
,,2016-10-14T07:58:23.955751,1,63
1984,Marie Kondō,2015-01-31T18:01:59.592921,22,64
1941,Helene Segura,2019-07-19T17:01:25.142110,1,65
,Caroline Paul,,11,66
1908,Edward Deeds,2019-07-19T15:38:03.176386,1,67
1958,Richard Weikart,,5,68
,,2023-07-18T08:31:40.354661,1,69
1934,Eric Hebborn,,4,70
,,2021-07-27T03:56:02.381475,49,71
1944,William Martin,2008-10-17T11:50:18.852959,20,72
1984,Marie Kondō,2015-01-31T18:01:59.592921,22,73
,David Brackett,,3,74
1894,"Graham, Benjamin",2008-04-01T03:28:50.625462,48,75
1867,"Galsworthy, John",2008-04-01T03:28:50.625462,1428,76
1867,"Galsworthy, John",2008-04-01T03:28:50.625462,1428,77
1953,Katherine S. Newman,,26,78
,,,,79
,,,,80
,E. D. Baker,2008-04-01T03:28:50.625462,38,81
,,,28,82
1936,Bernard Bastable,2008-04-01T03:28:50.625462,78,83
1924,Isabel Miller,2008-04-01T03:28:50.625462,14,84
,Erin Hunter,2008-04-01T03:28:50.625462,232,85
1917,"Burgess, Anthony",2008-04-01T03:28:50.625462,170,86
,Fauzia Burke,2019-07-19T17:02:03.511903,1,87
,,2020-11-24T04:38:25.455496,26,88
1948,Amanda Quick,2008-04-01T03:28:50.625462,352,89
,David Lebovitz,2008-04-01T03:28:50.625462,15,90
,Winifred H. Mills,,1,91
1977,Emily Flake,2008-04-30T09:38:13.731961,11,92
1991,,2015-11-13T15:16:18.735353,37,93
1991,,2015-11-13T15:16:18.735353,37,94
1991,,2015-11-13T15:16:18.735353,37,95
1948,Pochi Yeh,,10,96
,George J. Thompson,,6,97
